Year,Indicator_Reference_Number,Priority_Indicator,Public_Title,Theme,Polarity,Bristol_average,Sample_Size,Standard_Error,Lower_Confidence_Limit,Upper_Confidence_Limit,Ward_name,Ward_e_codes,Group_,ICS_name,ICS_code,Ward_Group_Statistic,Standard_Error_1,Lower_Confidence_Limit_2,Upper_Confidence_Limit_3,Sample_Size_response,p_value,Statistical_Significance,Gap,FID
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Easton,E05010896,,,,45.6,5.204205,35.7,55.8,136.0,,worse,10.8,77011
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Eastville,E05010897,,,,46.0,4.704448,37.0,55.2,122.0,,worse,10.4,77015
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Filwood,E05010898,,,,25.2,4.41253,17.6,34.8,105.0,,worse,31.2,77019
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Frome Vale,E05010899,,,,66.7,4.482626,57.4,74.8,119.0,,better,10.3,77023
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Hartcliffe & Withywood,E05010900,,,,38.2,4.464097,29.9,47.2,122.0,,worse,18.2,77027
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Henbury & Brentry,E05010901,,,,39.6,5.301593,29.8,50.3,109.0,,worse,16.8,77031
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Hengrove & Whitchurch Park,E05010902,,,,36.0,4.510584,27.7,45.2,133.0,,worse,20.4,77033
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Hillfields,E05010903,,,,43.5,4.887817,34.3,53.2,121.0,,worse,12.9,77035
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Horfield,E05010904,,,,65.8,4.506244,56.5,74.0,127.0,,better,9.4,77037
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Hotwells & Harbourside Ward,E05010905,,,,71.6,4.761497,61.5,80.0,120.0,,better,15.2,77039
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Knowle,E05010906,,,,63.0,4.371746,54.1,71.1,124.0,,no difference,6.6,77041
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Lawrence Hill,E05010907,,,,31.2,4.594386,22.9,40.8,118.0,,worse,25.2,77043
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Lockleaze,E05010908,,,,47.9,5.340306,37.7,58.3,103.0,,no difference,8.5,77045
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Redland,E05010909,,,,78.2,4.016044,69.3,85.0,114.0,,better,21.8,77047
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,St George Central,E05010910,,,,46.8,5.027077,37.2,56.7,117.0,,no difference,9.6,77049
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,St George Troopers Hill,E05010911,,,,64.6,5.286498,53.7,74.1,98.0,,no difference,8.2,77050
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,St George West,E05010912,,,,47.9,4.354809,39.5,56.4,116.0,,no difference,8.5,77055
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Southmead,E05010913,,,,47.0,5.172586,37.1,57.1,101.0,,no difference,9.4,77059
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Southville,E05010914,,,,65.2,4.923942,55.0,74.1,113.0,,no difference,8.8,77063
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Stockwood,E05010915,,,,45.1,5.640105,34.5,56.2,121.0,,worse,11.3,77067
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Stoke Bishop,E05010916,,,,73.8,5.068253,62.8,82.5,114.0,,better,17.4,77071
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Westbury-on-Trym & Henleaze,E05010917,,,,79.6,3.644969,71.6,85.9,137.0,,better,23.2,77074
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,Windmill Hill,E05010918,,,,62.7,4.40961,53.7,70.9,115.0,,no difference,6.3,77076
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,10% most deprived,,,30.6,2.970051,25.1,36.7,277.0,,worse,25.8,77080
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,10% to 20% decile,,,42.2,3.39238,35.7,48.9,289.0,,,,77151
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,20% to 30% decile,,,42.2,3.02696,36.4,48.2,368.0,,,,77152
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,30% to 40% decile,,,52.0,2.573887,47.0,57.0,407.0,,,,77153
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,40% to 50% decile,,,54.7,2.770954,49.2,60.0,402.0,,,,77154
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,50% to 60% decile,,,57.3,2.342514,52.7,61.8,506.0,,,,77155
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,60% to 70% decile,,,66.2,2.481343,61.2,70.9,446.0,,,,77156
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,70% to 80% decile,,,65.3,2.166975,60.9,69.4,473.0,,,,77157
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,80% to 90% decile,,,75.5,2.195131,70.9,79.5,440.0,,,,77158
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,10% least deprived,,,77.8,2.500522,72.5,82.3,383.0,,,,77159
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Male,,,64.7,1.208879,62.3,67.0,1812.0,,better,8.3,77160
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Female,,,48.7,1.148818,46.4,50.9,2179.0,,worse,7.7,77161
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,16 to 24 years,,,50.3,3.065863,44.4,56.3,299.0,,no difference,6.1,77162
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,50 years and older,,,54.9,1.127246,52.7,57.1,2026.0,,no difference,1.5,77163
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,65 years and older,,,52.4,1.622273,49.2,55.6,1055.0,,worse,4.0,77164
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Trans,,,37.4,8.296896,23.0,54.5,50.0,,worse,19.0,77165
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,LGB+,,,55.5,2.737179,50.1,60.8,416.0,,no difference,0.9,77166
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Disabled,,,43.0,2.680516,37.8,48.3,476.0,,worse,13.4,77167
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Christian,,,52.7,1.47029,49.8,55.5,1463.0,,worse,3.7,77168
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Muslim,,,45.0,7.023578,32.0,58.8,61.0,,no difference,11.4,77169
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Other religion,,,48.8,4.979957,39.2,58.5,144.0,,no difference,7.6,77170
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,No religion or faith,,,60.0,1.169495,57.7,62.3,2145.0,,better,3.6,77171
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,White,,,56.2,0.8655342,54.5,57.9,3562.0,,no difference,0.2,77172
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,"Black, Asian and minority ethnic",,,59.0,2.932345,53.2,64.6,348.0,,no difference,2.6,77173
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,White British,,,56.4,0.9425369,54.5,58.2,3202.0,,no difference,0.0,77174
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,White Minority Ethnic,,,54.6,2.967691,48.8,60.4,360.0,,no difference,1.8,77175
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Black/Black British,,,65.6,5.334065,54.6,75.2,101.0,,no difference,9.2,77176
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Asian/Asian British,,,54.1,4.832041,44.6,63.3,137.0,,no difference,2.3,77177
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Mixed/Multiple ethnic groups,,,64.1,5.87965,52.0,74.7,81.0,,no difference,7.7,77178
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Owner Occupiers,,,58.4,0.9747212,56.5,60.3,2957.0,,no difference,2.0,77179
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Rented from housing association,,,47.4,4.801877,38.2,56.8,136.0,,no difference,9.0,77180
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Rented from the council,,,35.0,3.297565,28.8,41.7,258.0,,worse,21.4,77181
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Rented from private landlord,,,57.4,2.264845,52.9,61.8,590.0,,no difference,1.0,77182
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,No qualifications,,,37.4,2.846038,32.0,43.1,319.0,,worse,19.0,77183
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Non degree qualifications,,,47.8,1.68196,44.5,51.1,1084.0,,worse,8.6,77184
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Degree qualifications,,,61.3,1.036489,59.2,63.3,2568.0,,better,4.9,77185
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Part-time carers,,,52.0,2.388433,47.3,56.6,556.0,,no difference,4.4,77186
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Full-time carers,,,44.5,3.755458,37.3,51.9,207.0,,worse,11.9,77187
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,All carers,,,49.9,2.043602,45.9,53.9,763.0,,worse,6.5,77188
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,All parents,,,57.7,1.797141,54.1,61.1,832.0,,no difference,1.3,77189
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Two parents,,,59.9,1.950659,56.0,63.7,716.0,,no difference,3.5,77190
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,Single parents,,,42.4,4.924245,33.2,52.3,116.0,,worse,14.0,77191
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,,Inner City and East,BRSLOC01,48.2,1.706279,44.9,51.6,1178.0,,worse,8.2,77192
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,,North and West,BRSLOC02,67.2,1.274268,64.6,69.6,1548.0,,better,10.8,77193
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,,South Bristol,BRSLOC03,51.0,1.384903,48.3,53.7,1277.0,,worse,5.4,77194
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,,East,BRSLOC0101,52.0,1.972076,48.1,55.9,693.0,,worse,4.4,77195
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,,Inner City,BRSLOC0102,44.9,2.712105,39.6,50.2,485.0,,worse,11.5,77196
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,,North and West (Outer),BRSLOC0201,52.1,2.286544,47.6,56.6,532.0,,no difference,4.3,77197
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,,North and West (Inner),BRSLOC0202,76.3,1.53656,73.1,79.2,1016.0,,better,19.9,77198
2024,IQOL17053,False,% who feel safe in their local area after dark,Crime & Safety,↑  Higher value is better,56.4,4003.0,0.814493,54.8,58.0,,,,South Bristol,BRSLOC0301,51.0,1.384903,48.3,53.7,1277.0,,worse,5.4,77199
